dataset,horizon,model,n,mse_mean,mse_std,mae_mean,mae_std,source
ETTh1,96,Adaptive PhaseGate,16,0.374136625,0.001666608,0.390928312,0.000887370,parallel_run_20260509_134027
ETTh1,96,FullContextDelta,16,0.374189125,0.002195852,0.390860625,0.001251462,parallel_run_20260508_212616
ETTh1,96,CrossBranchPhaseGate,16,0.374066063,0.001666243,0.390700875,0.000812530,parallel_run_20260503_131828
ETTh1,96,CrossBranchGate,16,0.373915438,0.002298590,0.390706875,0.001368936,parallel_run_20260503_131828
ETTh1,96,FRWKV,16,0.373343312,0.001832306,0.390175250,0.000980336,parallel_run_20260503_130521+parallel_run_20260503_131828
ETTh1,192,Adaptive PhaseGate,16,0.428499375,0.003076341,0.422024063,0.001683305,parallel_run_20260509_134027
ETTh1,192,FullContextDelta,16,0.428526813,0.002505771,0.422047063,0.000823008,parallel_run_20260508_212616
ETTh1,192,CrossBranchPhaseGate,16,0.429079250,0.003038140,0.422112750,0.001713412,parallel_run_20260503_131828
ETTh1,192,CrossBranchGate,16,0.428534750,0.003624419,0.422102625,0.002159028,parallel_run_20260503_131828
ETTh1,192,FRWKV,16,0.429365687,0.002437696,0.422128063,0.001167940,parallel_run_20260503_131828
ETTh1,336,Adaptive PhaseGate,16,0.471206125,0.005379430,0.444369687,0.002869374,parallel_run_20260509_134027
ETTh1,336,FullContextDelta,16,0.468743187,0.002353373,0.442464313,0.001319990,parallel_run_20260508_212616
ETTh1,336,CrossBranchPhaseGate,16,0.469275188,0.003839719,0.443499562,0.002464794,parallel_run_20260503_131828
ETTh1,336,CrossBranchGate,16,0.471182938,0.004748000,0.444109688,0.002488254,parallel_run_20260503_131828
ETTh1,336,FRWKV,16,0.469540000,0.004196700,0.443360313,0.002435813,parallel_run_20260503_131828
ETTh1,720,Adaptive PhaseGate,16,0.482408625,0.010215409,0.472068312,0.004113700,parallel_run_20260509_134027
ETTh1,720,FullContextDelta,16,0.482314187,0.011663605,0.471987250,0.005988873,parallel_run_20260508_212616
ETTh1,720,CrossBranchPhaseGate,16,0.482712625,0.008648738,0.472205938,0.004567426,parallel_run_20260503_131828
ETTh1,720,CrossBranchGate,16,0.476936875,0.006696462,0.469990688,0.004089183,parallel_run_20260503_131828
ETTh1,720,FRWKV,16,0.479415125,0.007347064,0.471651750,0.003104557,parallel_run_20260503_131828
ETTh2,96,Adaptive PhaseGate,16,0.284165000,0.003160498,0.330459063,0.001609274,parallel_run_20260509_134027
ETTh2,96,FullContextDelta,16,0.285233875,0.004347643,0.330758687,0.002197266,parallel_run_20260508_212616
ETTh2,96,CrossBranchPhaseGate,16,0.285077187,0.002398165,0.330614187,0.000967636,parallel_run_20260503_131828
ETTh2,96,CrossBranchGate,16,0.284809688,0.003415873,0.331032188,0.002085131,parallel_run_20260503_131828
