dataset,horizon,model,seed,mse,mae,run_id,name,model_type
ETTh1,96,Adaptive PhaseGate,2024,0.37486,0.391866,parallel_run_20260509_134027,kbs_adaptive16_etth1_pl96_seed2024,frwkv_crossbranchperiodicpositiongate_adaptive
ETTh1,96,Adaptive PhaseGate,2025,0.374222,0.391275,parallel_run_20260509_134027,kbs_adaptive16_etth1_pl96_seed2025,frwkv_crossbranchperiodicpositiongate_adaptive
ETTh1,96,Adaptive PhaseGate,2026,0.375217,0.391527,parallel_run_20260509_134027,kbs_adaptive16_etth1_pl96_seed2026,frwkv_crossbranchperiodicpositiongate_adaptive
ETTh1,96,Adaptive PhaseGate,2027,0.374057,0.390299,parallel_run_20260509_134027,kbs_adaptive16_etth1_pl96_seed2027,frwkv_crossbranchperiodicpositiongate_adaptive
ETTh1,96,Adaptive PhaseGate,2028,0.373493,0.390549,parallel_run_20260509_134027,kbs_adaptive16_etth1_pl96_seed2028,frwkv_crossbranchperiodicpositiongate_adaptive
ETTh1,96,Adaptive PhaseGate,2029,0.371259,0.39036,parallel_run_20260509_134027,kbs_adaptive16_etth1_pl96_seed2029,frwkv_crossbranchperiodicpositiongate_adaptive
ETTh1,96,Adaptive PhaseGate,2030,0.373355,0.390522,parallel_run_20260509_134027,kbs_adaptive16_etth1_pl96_seed2030,frwkv_crossbranchperiodicpositiongate_adaptive
ETTh1,96,Adaptive PhaseGate,2031,0.375154,0.391886,parallel_run_20260509_134027,kbs_adaptive16_etth1_pl96_seed2031,frwkv_crossbranchperiodicpositiongate_adaptive
ETTh1,96,Adaptive PhaseGate,2032,0.377478,0.392197,parallel_run_20260509_134027,kbs_adaptive16_etth1_pl96_seed2032,frwkv_crossbranchperiodicpositiongate_adaptive
ETTh1,96,Adaptive PhaseGate,2033,0.375017,0.390531,parallel_run_20260509_134027,kbs_adaptive16_etth1_pl96_seed2033,frwkv_crossbranchperiodicpositiongate_adaptive
ETTh1,96,Adaptive PhaseGate,2034,0.371448,0.389935,parallel_run_20260509_134027,kbs_adaptive16_etth1_pl96_seed2034,frwkv_crossbranchperiodicpositiongate_adaptive
ETTh1,96,Adaptive PhaseGate,2035,0.372888,0.390364,parallel_run_20260509_134027,kbs_adaptive16_etth1_pl96_seed2035,frwkv_crossbranchperiodicpositiongate_adaptive
ETTh1,96,Adaptive PhaseGate,2036,0.372375,0.389455,parallel_run_20260509_134027,kbs_adaptive16_etth1_pl96_seed2036,frwkv_crossbranchperiodicpositiongate_adaptive
ETTh1,96,Adaptive PhaseGate,2037,0.374836,0.390838,parallel_run_20260509_134027,kbs_adaptive16_etth1_pl96_seed2037,frwkv_crossbranchperiodicpositiongate_adaptive
ETTh1,96,Adaptive PhaseGate,2038,0.376438,0.392694,parallel_run_20260509_134027,kbs_adaptive16_etth1_pl96_seed2038,frwkv_crossbranchperiodicpositiongate_adaptive
ETTh1,96,Adaptive PhaseGate,2039,0.374089,0.390555,parallel_run_20260509_134027,kbs_adaptive16_etth1_pl96_seed2039,frwkv_crossbranchperiodicpositiongate_adaptive
ETTh1,96,CrossBranchGate,2024,0.374106,0.390674,parallel_run_20260503_131828,kbs_fullabl16_crossbranchgate_etth1_pl96_seed2024,frwkv_crossbranchgate
ETTh1,96,CrossBranchGate,2025,0.374304,0.390493,parallel_run_20260503_131828,kbs_fullabl16_crossbranchgate_etth1_pl96_seed2025,frwkv_crossbranchgate
ETTh1,96,CrossBranchGate,2026,0.374194,0.390011,parallel_run_20260503_131828,kbs_fullabl16_crossbranchgate_etth1_pl96_seed2026,frwkv_crossbranchgate
ETTh1,96,CrossBranchGate,2027,0.371568,0.389845,parallel_run_20260503_131828,kbs_fullabl16_crossbranchgate_etth1_pl96_seed2027,frwkv_crossbranchgate
ETTh1,96,CrossBranchGate,2028,0.378813,0.3937,parallel_run_20260503_131828,kbs_fullabl16_crossbranchgate_etth1_pl96_seed2028,frwkv_crossbranchgate
ETTh1,96,CrossBranchGate,2029,0.375551,0.391898,parallel_run_20260503_131828,kbs_fullabl16_crossbranchgate_etth1_pl96_seed2029,frwkv_crossbranchgate
ETTh1,96,CrossBranchGate,2030,0.371084,0.388689,parallel_run_20260503_131828,kbs_fullabl16_crossbranchgate_etth1_pl96_seed2030,frwkv_crossbranchgate
ETTh1,96,CrossBranchGate,2031,0.375687,0.39129,parallel_run_20260503_131828,kbs_fullabl16_crossbranchgate_etth1_pl96_seed2031,frwkv_crossbranchgate
ETTh1,96,CrossBranchGate,2032,0.373521,0.391163,parallel_run_20260503_131828,kbs_fullabl16_crossbranchgate_etth1_pl96_seed2032,frwkv_crossbranchgate
ETTh1,96,CrossBranchGate,2033,0.373396,0.390231,parallel_run_20260503_131828,kbs_fullabl16_crossbranchgate_etth1_pl96_seed2033,frwkv_crossbranchgate
ETTh1,96,CrossBranchGate,2034,0.37562,0.392331,parallel_run_20260503_131828,kbs_fullabl16_crossbranchgate_etth1_pl96_seed2034,frwkv_crossbranchgate
ETTh1,96,CrossBranchGate,2035,0.374054,0.389963,parallel_run_20260503_131828,kbs_fullabl16_crossbranchgate_etth1_pl96_seed2035,frwkv_crossbranchgate
ETTh1,96,CrossBranchGate,2036,0.371211,0.388832,parallel_run_20260503_131828,kbs_fullabl16_crossbranchgate_etth1_pl96_seed2036,frwkv_crossbranchgate
ETTh1,96,CrossBranchGate,2037,0.371353,0.38945,parallel_run_20260503_131828,kbs_fullabl16_crossbranchgate_etth1_pl96_seed2037,frwkv_crossbranchgate
ETTh1,96,CrossBranchGate,2038,0.377123,0.392476,parallel_run_20260503_131828,kbs_fullabl16_crossbranchgate_etth1_pl96_seed2038,frwkv_crossbranchgate
ETTh1,96,CrossBranchGate,2039,0.371062,0.390264,parallel_run_20260503_131828,kbs_fullabl16_crossbranchgate_etth1_pl96_seed2039,frwkv_crossbranchgate
ETTh1,96,CrossBranchPhaseGate,2024,0.37497,0.391846,parallel_run_20260503_131828,kbs_fullabl16_crossbranchphasegate_etth1_pl96_seed2024,frwkv_crossbranchphasegate
