dataset,horizon,display_mse,display_mae,display_marker,trace_status,candidate_count_rounded_exact,same_setting_candidate_count,source_type,run_id,seed,model_type,config_name,model_tag,test_mse,test_mae,rounded_diff_mse,rounded_diff_mae,source_file,nearest_run_id,nearest_seed,nearest_model_type,nearest_test_mse,nearest_test_mae,nearest_source_type,nearest_source_file
ETTm1,96,0.308,0.339,,status_json_exact,14,1347,status_json,parallel_run_20260419_113220,2026,frwkv_crossbranchphasegate_adaptive,,kbs_release_ettm1_pl96_local_p48_r4_a0025_bm25_seed2026,0.307998,0.339446,-0.000002,0.000446,experiment_runner/parallel_run_20260419_113220/status/kbs_release_ettm1_pl96_local_p48_r4_a0025_bm25_seed2026.json,,,,,,,
ETTm1,192,0.357,0.37,,status_json_exact,2,570,status_json,parallel_run_20260416_213910,2026,frwkv_crossbranchphasegate_adaptive_linearproj,,kbs_ettm1_pl192_confirm_linear_base_seed2026,0.357307,0.369640,0.000307,-0.000360,experiment_runner/parallel_run_20260416_213910/status/kbs_ettm1_pl192_confirm_linear_base_seed2026.json,,,,,,,
ETTm1,336,0.389,0.391,,status_json_exact,31,802,status_json,parallel_run_20260415_233903,2025,frwkv_crossbranchphasegate_adaptive,,ettm1_pl336_pp48_r4_a0.05_b-3.0_es4_el3,0.389460,0.390789,0.000460,-0.000211,experiment_runner/parallel_run_20260415_233903/status/ettm1_pl336_pp48_r4_a0.05_b-3.0_es4_el3.json,,,,,,,
ETTm1,720,0.452,0.427,,status_json_exact,88,1321,status_json,parallel_run_20260416_115318,2025,frwkv_crossbranchphasegate_adaptive,,ettm1_pl720_pp144_r8_a0.10_b-2.0_es8_el2,0.452379,0.426739,0.000379,-0.000261,experiment_runner/parallel_run_20260416_115318/status/ettm1_pl720_pp144_r8_a0.10_b-2.0_es8_el2.json,,,,,,,
ETTm2,96,0.171,0.249,,status_json_exact,23,193,status_json,parallel_run_20260503_131828,2024,frwkv_crossbranchgate,,kbs_fullabl16_crossbranchgate_ettm2_pl96_seed2024,0.170719,0.249356,-0.000281,0.000356,experiment_runner/parallel_run_20260503_131828/status/kbs_fullabl16_crossbranchgate_ettm2_pl96_seed2024.json,,,,,,,
ETTm2,192,0.233,0.291,,summary_log_exact,1,191,summary_log,parallel_run_20260408_222932,2025,frwkv_crossbranchphasegate_adaptive,,overnight_phasegate_ettm2_pl192_pp24_r2_a0.02_b-3.0_seed2025,0.233051,0.290963,0.000051,-0.000037,experiment_runner/parallel_run_20260408_222932/logs/overnight_ETTm2_pl192_pp24_r2_a0.02_b-3.0.log,,,,,,,
ETTm2,336,0.292,0.328,,status_json_exact,4,191,status_json,parallel_run_20260416_224740,2025,frwkv_crossbranchphasegate_adaptive,,kbs_adaptive_ms_ettm2_pl336_seed2025_es16,0.291799,0.328495,-0.000201,0.000495,experiment_runner/parallel_run_20260416_224740/status/kbs_adaptive_ms_ettm2_pl336_seed2025_es16.json,,,,,,,
ETTm2,720,0.39,0.388,,status_json_exact,14,191,status_json,parallel_run_20260503_131828,2026,frwkv_crossbranchgate,,kbs_fullabl16_crossbranchgate_ettm2_pl720_seed2026,0.389563,0.387606,-0.000437,-0.000394,experiment_runner/parallel_run_20260503_131828/status/kbs_fullabl16_crossbranchgate_ettm2_pl720_seed2026.json,,,,,,,
ETTh1,96,0.371,0.388,,summary_log_exact,2,211,summary_log,parallel_run_20260408_004029,2025,frwkv_crossbranchphasegate_adaptive,,phasegate_period_sweep_etth1_pl96_pp12_seed2025,0.370847,0.388467,-0.000153,0.000467,experiment_runner/parallel_run_20260408_004029/logs/frwkv_crossbranchphasegate_adaptive_etth1_pl96_pp12_seed2025.log,,,,,,,
ETTh1,192,0.424,0.419,,status_json_exact,6,215,status_json,parallel_run_20260416_224740,2025,frwkv_crossbranchphasegate_adaptive,,kbs_r1_etth1_pl192_patch24_l1_es16,0.423557,0.419051,-0.000443,0.000051,experiment_runner/parallel_run_20260416_224740/status/kbs_r1_etth1_pl192_patch24_l1_es16.json,,,,,,,
ETTh1,336,0.462,0.441,,status_json_exact,4,203,status_json,parallel_run_20260416_224740,2025,frwkv_crossbranchphasegate_adaptive,,kbs_adaptive_ms_etth1_pl336_seed2025_es16,0.462054,0.440882,0.000054,-0.000118,experiment_runner/parallel_run_20260416_224740/status/kbs_adaptive_ms_etth1_pl336_seed2025_es16.json,,,,,,,
ETTh1,720,0.463,0.46,ddagger,status_json_exact,4,658,status_json,parallel_run_20260419_201650,2034,frwkv_crossbranchphasegate_adaptive,,kbs_mae_etth1_pl720_apg_es4_p24_r4_a006_bm30_seed2034,0.462557,0.460319,-0.000443,0.000319,experiment_runner/parallel_run_20260419_201650/status/kbs_mae_etth1_pl720_apg_es4_p24_r4_a006_bm30_seed2034.json,,,,,,,
ETTh2,96,0.278,0.327,,status_json_exact,9,1560,status_json,parallel_run_20260419_022815,2034,frwkv_crossbranchphasegate_adaptive,,kbs_search_etth2_pl96_p12_r2_a001_bm45_es16_seed2034,0.277616,0.327223,-0.000384,0.000223,experiment_runner/parallel_run_20260419_022815/status/kbs_search_etth2_pl96_p12_r2_a001_bm45_es16_seed2034.json,,,,,,,
ETTh2,192,0.358,0.379,,status_json_exact,14,623,status_json,parallel_run_20260416_224740,2028,frwkv_crossbranchphasegate_adaptive,,kbs_ablation_frwkv_crossbranchphasegate_adaptive_etth2_pl192_seed2028_es16,0.358200,0.379347,0.000200,0.000347,experiment_runner/parallel_run_20260416_224740/status/kbs_ablation_frwkv_crossbranchphasegate_adaptive_etth2_pl192_seed2028_es16.json,,,,,,,
ETTh2,336,0.396,0.41,,summary_log_exact,2,237,summary_log,parallel_run_20260409_133922,2025,frwkv_crossbranchphasegate_adaptive,,phasegate_hard_etth2_pl336_pp24_r1_a0.05_b-2.5_seed2025,0.395515,0.410494,-0.000485,0.000494,experiment_runner/parallel_run_20260409_133922/logs/phasegate_hard_etth2_pl336_pp24_r1_a0.05_b-2.5_seed2025.log,,,,,,,
ETTh2,720,0.409,0.43,,summary_log_exact,1,272,summary_log,parallel_run_20260409_133922,2024,frwkv_crossbranchphasegate_adaptive,,phasegate_hard_etth2_pl720_pp48_r2_a0.1_b-2.0_seed2024,0.409381,0.429917,0.000381,-0.000083,experiment_runner/parallel_run_20260409_133922/logs/phasegate_hard_etth2_pl720_pp48_r2_a0.1_b-2.0_seed2024.log,,,,,,,
Weather,96,0.156,0.194,,summary_log_exact,1,194,summary_log,parallel_run_20260408_093213,2025,frwkv_crossbranchphasegate_adaptive,,phasegate_transfer_sweep_weather_pl96_pp12_seed2025,0.156426,0.193769,0.000426,-0.000231,experiment_runner/parallel_run_20260408_093213/logs/frwkv_phasegate_transfer_weather_pl96_pp12_seed2025.log,,,,,,,
Weather,192,0.205,0.238,,terminal_log_exact,1,194,terminal_log,parallel_run_20260411_181159,2028,frwkv_crossbranchphasegate_adaptive,,kbs_adaptive_ms_weather_pl192_seed2028,0.205043,0.238439,0.000043,0.000439,experiment_runner/parallel_run_20260411_181159/logs/kbs_adaptive_ms_weather_pl192_seed2028.log,,,,,,,
Weather,336,0.264,0.282,,terminal_log_exact,1,191,terminal_log,parallel_run_20260411_181159,2024,frwkv_crossbranchphasegate_adaptive,,kbs_adaptive_ms_weather_pl336_seed2024,0.263671,0.282206,-0.000329,0.000206,experiment_runner/parallel_run_20260411_181159/logs/kbs_adaptive_ms_weather_pl336_seed2024.log,,,,,,,
