dataset,horizon,model,display_label,seed,mse,mae,run_id,source_file,source_kind,model_type,model_tag,config_name,selection_rule,candidate_count
ETTh1,336,Ours(selected),Ours(selected),2025,0.462054,0.440882,parallel_run_20260416_224740,experiment_runner/parallel_run_20260416_224740/status/kbs_adaptive_ms_etth1_pl336_seed2025_es16.json,selected_system_audit,frwkv_crossbranchphasegate_adaptive,kbs_adaptive_ms_etth1_pl336_seed2025_es16,,selected_system_audit_exact,1
ETTh1,336,FRWKV,FRWKV,2035,0.463846,0.440400,parallel_run_20260503_131828,experiment_runner/parallel_run_20260503_131828/status/kbs_fullabl16_frwkv_etth1_pl336_seed2035.json,status_json,frwkv,kbs_fullabl16_frwkv_etth1_pl336_seed2035,,best_single_run_by_mse_then_mae,32
ETTh1,336,CrossBranchGate,CrossBranchGate,2039,0.461025,0.439920,parallel_run_20260503_131828,experiment_runner/parallel_run_20260503_131828/status/kbs_fullabl16_crossbranchgate_etth1_pl336_seed2039.json,status_json,frwkv_crossbranchgate,kbs_fullabl16_crossbranchgate_etth1_pl336_seed2039,,best_single_run_by_mse_then_mae,32
ETTh1,336,CrossBranchPhaseGate,CrossBranchPhaseGate,2037,0.462180,0.439922,parallel_run_20260503_131828,experiment_runner/parallel_run_20260503_131828/status/kbs_fullabl16_crossbranchphasegate_etth1_pl336_seed2037.json,status_json,frwkv_crossbranchphasegate,kbs_fullabl16_crossbranchphasegate_etth1_pl336_seed2037,,best_single_run_by_mse_then_mae,32
ETTh1,720,Ours(selected),Ours(selected),2034,0.462557,0.460319,parallel_run_20260419_201650,experiment_runner/parallel_run_20260419_201650/status/kbs_mae_etth1_pl720_apg_es4_p24_r4_a006_bm30_seed2034.json,selected_system_audit,frwkv_crossbranchphasegate_adaptive,kbs_mae_etth1_pl720_apg_es4_p24_r4_a006_bm30_seed2034,,selected_system_audit_exact,1
ETTh1,720,FRWKV,FRWKV,2038,0.470105,0.468994,parallel_run_20260503_131828,experiment_runner/parallel_run_20260503_131828/status/kbs_fullabl16_frwkv_etth1_pl720_seed2038.json,status_json,frwkv,kbs_fullabl16_frwkv_etth1_pl720_seed2038,,best_single_run_by_mse_then_mae,32
ETTh1,720,CrossBranchGate,CrossBranchGate,2025,0.466277,0.461311,parallel_run_20260503_131828,experiment_runner/parallel_run_20260503_131828/status/kbs_fullabl16_crossbranchgate_etth1_pl720_seed2025.json,status_json,frwkv_crossbranchgate,kbs_fullabl16_crossbranchgate_etth1_pl720_seed2025,,best_single_run_by_mse_then_mae,32
ETTh1,720,CrossBranchPhaseGate,CrossBranchPhaseGate,2025,0.469290,0.466195,parallel_run_20260503_131828,experiment_runner/parallel_run_20260503_131828/status/kbs_fullabl16_crossbranchphasegate_etth1_pl720_seed2025.json,status_json,frwkv_crossbranchphasegate,kbs_fullabl16_crossbranchphasegate_etth1_pl720_seed2025,,best_single_run_by_mse_then_mae,32
ETTh2,96,Ours(selected),Ours(selected),2034,0.277616,0.327223,parallel_run_20260419_022815,experiment_runner/parallel_run_20260419_022815/status/kbs_search_etth2_pl96_p12_r2_a001_bm45_es16_seed2034.json,selected_system_audit,frwkv_crossbranchphasegate_adaptive,kbs_search_etth2_pl96_p12_r2_a001_bm45_es16_seed2034,,selected_system_audit_exact,1
ETTh2,96,FRWKV,FRWKV,2080,0.278895,0.327768,parallel_run_20260508_195512,experiment_runner/parallel_run_20260508_195512/status/kbs_family60_frwkv_etth2_pl96_seed2080.json,status_json,frwkv,kbs_family60_frwkv_etth2_pl96_seed2080,,best_single_run_by_mse_then_mae,177
ETTh2,96,CrossBranchGate,CrossBranchGate,2026,0.280456,0.329892,parallel_run_20260503_131828,experiment_runner/parallel_run_20260503_131828/status/kbs_fullabl16_crossbranchgate_etth2_pl96_seed2026.json,status_json,frwkv_crossbranchgate,kbs_fullabl16_crossbranchgate_etth2_pl96_seed2026,,best_single_run_by_mse_then_mae,89
ETTh2,96,CrossBranchPhaseGate,CrossBranchPhaseGate,2025,0.278386,0.327675,parallel_run_20260411_181159,experiment_runner/parallel_run_20260411_181159/logs/kbs_ablation_frwkv_crossbranchphasegate_etth2_pl96_seed2025.log,terminal_log,frwkv_crossbranchphasegate,kbs_ablation_frwkv_crossbranchphasegate_etth2_pl96_seed2025,,best_single_run_by_mse_then_mae,83
ETTh2,192,Ours(selected),Ours(selected),2028,0.358200,0.379347,parallel_run_20260416_224740,experiment_runner/parallel_run_20260416_224740/status/kbs_ablation_frwkv_crossbranchphasegate_adaptive_etth2_pl192_seed2028_es16.json,selected_system_audit,frwkv_crossbranchphasegate_adaptive,kbs_ablation_frwkv_crossbranchphasegate_adaptive_etth2_pl192_seed2028_es16,,selected_system_audit_exact,1
ETTh2,192,FRWKV,FRWKV,2024,0.359240,0.380126,parallel_run_20260416_224740,experiment_runner/parallel_run_20260416_224740/status/kbs_ablation_frwkv_etth2_pl192_seed2024_es16.json,status_json,frwkv,kbs_ablation_frwkv_etth2_pl192_seed2024_es16,,best_single_run_by_mse_then_mae,57
